企業名,サービス名,サービス概要,ローンチ日,url
サイバーエージェント,ABEMA,"新しい未来のテレビとして展開する動画配信事業。国内唯一の緊急・速報をはじめとした24時間編成のニュース専門チャンネルや、オリジナルのドラマや恋愛リアリティーショー、アニメ、スポーツなど、多彩な番組をお楽しみいただけます。また、オリジナルエピソード数は国内発の動画サービスで日本No.1を誇り、総エピソード数は常時26,000本以上を配信。登録は不要で、スマートフォンやPC、タブレット、主要なテレビデバイスにも対応し、いつでもどこでも、様々なシチュエーションで利用することができる。さらに、通信量を半分に削減可能な「通信量節約モード」や、放送中の番組を最初から視聴することができる「追っかけ再生機能」など、利便性を高めるための取り組みも積極的に行う。",201604,https://abema.tv/
サイバーエージェント,Ameba,"国内最大規模のブログサービス「Amebaブログ」や、最新の芸能ニュースやゲームを無料で楽むことができる。「Ameba」でオフィシャルブログを展開する芸能人・有名人は20,000人を超え、ブログで発信される情報からたくさんの新たな記事や話題が生まれている。",,https://ameblo.jp/
サイバーエージェント,タップル,"グルメ・映画・スポーツなど共通の趣味からパートナーを探せるマッチングアプリです。2014年5月のサービス開始から、会員数は1,700万人を突破、累計マッチング成立数は5億組を超え、20代の2人に1人が利用経験のあるアプリ※3として、恋活中の若い世代を中心に利用されている。
安心・安全への対策は業界でも高い基準を設けており、24時間365日の監視パトロールや公的身分証明書による本人確認、AIを用いた不正利用者の早期検知システム、万が一のトラブルに対するLINE電話によるカスタマーサポートなどを提供している。",,https://tapple.me/
サイバーエージェント,AWA,"月額980円で、世界中の音楽1億曲以上を聴き放題。オフライン再生やイコライザーなどきめ細やかな機能や、プレイリストの気軽な共有、音声ライブ配信やチャットによる音楽共有空間""ラウンジ""が特徴。",,https://awa.fm/
サイバーエージェント,WINTICKET,競輪・オートレースの投票サービス「WINTICKET（ウィンチケット ）」は競輪の車券を購入できるインターネット投票サービスの他、AIや有名タレントの予想や、競輪選手データ、レース予定・結果など投票に役立つデータを提供。競輪場のライブ映像も無料配信。新しい未来のテレビ「ABEMA（アベマ）」にて「競輪・オートレースチャンネル」を開設し、現在ファンである方はもちろん、これまで競輪やオートレースにあまり触れることの無かった若い世代の方にもその面白さを伝えることを目指し、競輪・オートレースのレース中継やミッドナイト競輪を中心とした特別番組を制作・配信している。,,https://www.winticket.jp/
サイバーエージェント,N organic,さまざまなブランドを取り扱う通販サイト「シロクショップ」を運営,,https://sirok.jp/norganic
DeNA,Mobage,ゲームやアバターなどのエンターテインメントのほか、コミュニティ機能や便利ツールがスマートフォンで楽しめるゲームプラットフォームです。,,https://www.mbga.jp/
DeNA,AndApp,スマートフォン向けゲームをPCで遊ぶことができるプラットフォームです。スマートフォン版のデータと連動したゲームをPC上で配信しています,,https://www.andapp.jp/
DeNA,Pococha,様々な個性あふれる「ライバー」と、視聴者である「リスナー」が双方向コミュニケーションを気軽に楽しむことができるライブ配信アプリです。,,https://www.pococha.com/ja-jp
DeNA,Voice Pococha,顔を出す必要がないため容姿や年齢、性別を気にすることなく自分を中心としたコミュニティを形成することができる、音声ライブ配信アプリです。,,https://www.voice-pococha.com/
DeNA,IRIAM,1台のスマホと1枚のイラストだけで、いつでも・どこでも「キャラクターライブ配信」を楽しめるアプリです。,,https://www.live.iriam.com/
DeNA,SHOWROOM,インターネット上でアイドルやタレントなどのライブパフォーマンスを配信する仮想ライブ空間です。,,https://www.showroom-live.com/
DeNA,MYCODE,一般消費者向け遺伝子検査サービスです。唾液採取をして返送すると、最大280の検査項目に関する情報と食生活などに関するアドバイスを提供します。,,https://mycode.jp/
DeNA,kencom,健康保険組合や自治体等で導入され、利用者の健康診断結果や楽しく健康増進を促進する仕組みを取り入れたヘルスケアエンターテインメントアプリです。,,https://kencom.jp/login
DeNA,ハレトケ,無料会員登録で毎日が豊かになる厳選された特典が得られる、主にミレニアル世代の女性を応援するwebサービスです。暮らしに役立つ記事も読めます。,,https://hareto-ke.jp/
DeNA,カラダモ,ゲーミフィケーションや楽しく継続してもらう仕組みを活用し、体に良い行動の習慣化を促すことで、健康的なダイエットをサポートするアプリです。,,https://caradamo.jp/
DeNA,ONSEI,音声から音声特徴量を抽出しAIが解析することで、認知機能の変化をチェックするアプリです。,,https://systems.nippontect.co.jp/products/onsei/
DeNA,MENKYO,高齢者運転免許更新時の認知機能検査を、紙ではなくタブレットで実施できるようにしたシステムで、効率化が期待されます。,,https://systems.nippontect.co.jp/products/menkyo/
DeNA,SHINRI-ADAS,抗認知症薬の治験にも採用された、薬効評価に最適な認知機能検査「ADAS-Jcog.」をタブレットやＰＣで実施できるようにしたクラウドシステムです。,,https://systems.nippontect.co.jp/products/shinri-adas/
DeNA,MRI-TAISEKI,MRIで撮像した脳のDICOM画像を解析し133の脳部位に分割し、各部位の体積を測定するシステム。医療機器プログラムとして認証されています。,,https://systems.nippontect.co.jp/products/mri-taiseki/
